Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
Bulgaria,BGR,Urban population,SP.URB.TOTL,2918796,3080500,3244762,3411401,3582451,3753817,3900528,4030377,4165384,4304295,4440047,4555020,4667082,4782137,4905140,5019834,5126058,5232150,5317153,5402887,5503013,5566106,5627272,5685942,5743706,5787617,5822722,5862424,5900092,5861908,5786939,5759256,5726692,5704408,5704237,5697800,5687307,5671407,5652100,5638810,5629167,5539603,5448708,5433321,5419782,5406009,5391557,5378166,5366322,5357245,5347166,5337678,5331472,5326274,5320503,5310996,5298039,5283539,5269340,5256027,5248079,
Bahrain,BHR,Urban population,SP.URB.TOTL,133712,138243,142589,146739,150680,154631,158723,162767,167093,172094,178112,185108,193094,202410,213469,226492,241769,259009,277079,294407,309875,322929,333969,343890,354089,365552,378673,393114,408230,423106,437110,450268,462394,473985,485794,498241,511450,525808,542379,562549,587329,616418,649665,688245,733576,786210,847744,916668,986795,1049728,1099827,1133658,1153855,1168206,1187969,1220935,1270239,1332508,1401306,1467102,1523019,
Bahamas The,BHS,Urban population,SP.URB.TOTL,65404,69594,74100,78857,83755,88718,93742,98792,103781,108568,113082,117255,121103,124773,128428,132259,136280,140465,144823,149311,153945,158999,164192,169463,174704,179861,184875,189764,194630,199588,204567,208980,213602,218256,222720,226836,230535,233902,237162,240614,244418,248295,252562,257180,262054,267084,272307,277676,282996,288018,292563,296570,300071,303261,306388,309636,313041,316565,320173,323788,327359,
Bosnia and Herzegovina,BIH,Urban population,SP.URB.TOTL,614166,647395,685299,724833,765519,806725,848310,890333,933086,977064,1022903,1069057,1112020,1156161,1201234,1246860,1292837,1339105,1386248,1434928,1485644,1532000,1561356,1591039,1621064,1650960,1682058,1713415,1739886,1754218,1751849,1729289,1688685,1639571,1594530,1562903,1548306,1548302,1559273,1574791,1589898,1603529,1617064,1630152,1642995,1655428,1667404,1678242,1686414,1690104,1688142,1679673,1665461,1647981,1631018,1617733,1609084,1604580,1603630,1605143,1608256,
Belarus,BLR,Urban population,SP.URB.TOTL,2656234,2772677,2895029,3022385,3153963,3282735,3415027,3551335,3690749,3831426,3978504,4133823,4290972,4447749,4602886,4741013,4877627,5019081,5167027,5309728,5448102,5591406,5734993,5879814,6025280,6167842,6312729,6457896,6578021,6669994,6723034,6766199,6821128,6876034,6907388,6924262,6939798,6949361,6956101,6966778,6983033,6995457,6998521,6996348,6994710,6992229,6993921,7005597,7024602,7049739,7081770,7114020,7150971,7195632,7246350,7302153,7354014,7390686,7418413,7445754,7455467,
Belize,BLZ,Urban population,SP.URB.TOTL,49742,50873,52017,53189,54410,55693,57047,58450,59830,61111,62269,63402,64397,65278,66084,66860,67588,68295,69064,69997,71169,72580,74216,76042,77942,79852,81780,83744,85655,87433,89023,90352,91447,92583,94057,96082,98741,101931,105437,108931,112274,115752,119029,122178,125345,128597,131964,135398,138874,142366,145844,149359,152932,156543,160198,163882,167603,171357,175155,179038,183005,
Bermuda,BMU,Urban population,SP.URB.TOTL,44400,45500,46600,47700,48900,50100,51000,52000,53000,54000,55000,54600,54200,53800,53400,53000,53200,53400,53600,53800,54670,55050,55449,55930,56423,56898,57382,57849,58347,58841,59326,59021,58595,58910,59320,59746,60129,60497,60943,61285,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65138,65237,64554,63873,63919,63913,63903,
Bolivia,BOL,Urban population,SP.URB.TOTL,1344372,1381913,1420685,1460748,1502247,1545149,1589601,1635578,1683167,1732436,1783557,1836458,1891171,1947676,2006036,2066284,2128426,2219184,2321951,2427660,2536135,2646815,2760185,2876583,2997035,3121801,3251410,3385640,3524616,3667781,3815272,3967012,4120463,4247234,4376660,4508611,4642823,4779299,4917892,5058609,5201396,5346007,5489006,5632753,5777979,5924368,6072091,6220823,6370957,6522380,6675283,6829809,6985733,7137082,7285464,7434136,7583054,7732023,7881917,8033037,8185478,
Brazil,BRA,Urban population,SP.URB.TOTL,33302777,35016989,36802627,38660040,40580114,42551350,44575892,46652819,48781907,50954986,53176875,55461937,57797615,60184827,62641527,65175661,67790418,70478354,73245837,76091694,79015956,82013626,85085301,88209012,91357901,94505180,97647146,100778357,103903010,107023059,110146164,113265896,116379448,119489202,122608542,125743636,128896588,132175407,135456373,138709640,141915772,144508695,147005324,149452653,151843987,154176529,156447982,158660054,160823508,162949974,165055096,167158531,169240747,171300683,173346780,175375428,177386817,179379296,181335496,183241634,185081854,
Barbados,BRB,Urban population,SP.URB.TOTL,84949,85386,85889,86432,86957,87435,87856,88244,88633,89077,89705,90777,91948,93173,94413,95645,96850,98032,99194,100313,101213,100883,100498,100082,99660,99265,98897,98545,98209,97886,97511,96923,96331,95740,95160,94590,94027,93478,92928,92366,91844,91637,91408,91171,90945,90746,90584,90441,90299,90131,89915,89707,89515,89351,89230,89162,89149,89186,89280,89430,89634,
Brunei Darussalam,BRN,Urban population,SP.URB.TOTL,35462,38697,42120,45760,49669,53883,58431,63307,68519,74044,79888,86032,90515,94885,99308,103758,108211,112685,117141,121558,125923,130216,134455,138694,143010,147450,152050,156779,161657,166690,171884,177255,183719,190430,197192,203950,210669,217331,223937,230532,237094,243643,249839,255860,261646,267127,272250,277071,281725,286422,291324,296486,301865,307343,312792,318086,323197,328175,332997,337720,342330,
Bhutan,BTN,Urban population,SP.URB.TOTL,8029,8678,9380,10143,10980,11905,12926,14056,15294,16643,18103,19685,21398,23249,25258,27440,29814,32377,35143,38093,41225,44512,47972,51657,55675,60080,64991,70390,76068,81694,86988,91749,96011,100079,104514,109797,116178,123589,131935,140906,150224,159845,169838,180115,190589,200884,208476,215878,223217,230700,238507,246710,255172,263845,272651,281531,290468,299470,308510,317539,326515,
Botswana,BWA,Urban population,SP.URB.TOTL,15384,15878,16415,16987,18178,21498,25378,29929,35291,41629,49175,58159,64675,71619,79403,88102,97826,108648,120616,133714,147958,163306,187652,216388,248979,285836,327541,374200,425630,480968,539575,600717,633269,661583,690257,719616,749804,780641,811945,843325,874565,905362,930220,954416,979659,1006476,1035454,1086415,1138731,1190401,1240193,1287139,1320976,1352456,1386175,1424167,1467302,1514887,1565359,1616554,1666761,
Central African Republic,CAF,Urban population,SP.URB.TOTL,301835,316672,332388,349042,366813,385642,405741,427077,450265,473980,497923,521897,546103,570975,597426,626110,650528,671071,693542,718145,745011,774484,806439,839637,872341,903284,931766,958313,984513,1008893,1033582,1062342,1094533,1129146,1164627,1199829,1234369,1268566,1302438,1336285,1370218,1403944,1437281,1470348,1503409,1537371,1572816,1609473,1645503,1678400,1706627,1729234,1747414,1764188,1783838,1809714,1843116,1883450,1930199,1982061,2038064,
Canada,CAN,Urban population,SP.URB.TOTL,12368141,12729040,13121753,13522659,13934678,14343688,14763748,15136519,15487885,15804855,16132459,16710910,16879589,17060238,17272703,17498862,17705309,17923214,18112108,18301934,18549289,18791654,19057229,19287381,19511294,19731489,19967235,20237468,20506939,20883649,21206427,21482271,21813814,22130869,22450573,22760570,23081461,23428320,23739358,24048329,24388404,24757782,25052940,25304780,25566897,25834340,26126316,26441461,26789863,27158023,27522537,27847821,28166078,28479640,28781576,29011826,29357013,29729597,30175132,30631841,30997832,
Central Europe and the Baltics,CEB,Urban population,SP.URB.TOTL,40681000,41695965,42661010,43668377,44715037,45698224,46636161,47617004,48588166,49515470,50340797,51239081,52332715,53454187,54624942,55847599,57068800,58276907,59441882,60500960,61480865,62310691,63085437,63847364,64598204,65326024,66038489,66739999,67399068,67791921,67987254,68052850,67931520,67857615,67813738,67686515,67515755,67363668,67218739,67078013,66669587,66206030,65839890,65682785,65551568,65430714,65329206,65168162,65021934,64961672,64768515,64654506,64524893,64402919,64285250,64165146,64046460,63954111,63915976,63935741,63968382,
Switzerland,CHE,Urban population,SP.URB.TOTL,3778708,3871554,3987452,4090405,4175596,4241081,4302743,4373584,4446360,4513988,4564145,4597418,4635987,4673744,4702405,4703772,4680366,4667917,4671729,4684518,4706505,4731625,4755517,4772101,4785404,4802758,4823914,4850382,4882139,4917784,4964515,5023076,5075050,5117803,5154986,5185748,5204882,5213607,5225282,5246404,5272018,5304905,5347082,5388808,5427827,5464643,5500991,5552336,5625324,5697988,5759681,5825978,5889928,5959745,6034707,6105617,6174416,6234162,6283319,6332759,6383962,
