Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
IDA only,IDX,Urban population,SP.URB.TOTL,29368511,30855875,32464231,34186475,36035045,37997472,40045001,42280125,44648611,47149159,49702984,52383136,55205293,58137742,61199731,62482836,65887609,69515415,73366140,77214575,81492328,85685973,89403095,93379217,97695667,102325129,107147989,112173764,117434128,122802323,128446858,134193552,140046308,146007489,151845085,157794415,163852016,170082341,176415183,182927823,189704556,197050782,204834029,212958900,221343695,230074527,239110371,248061526,257943879,268077588,278416203,288648862,298982857,309616846,320688731,332593299,345026334,357989710,371523928,385656534,400401384,
Isle of Man,IMN,Urban population,SP.URB.TOTL,26704,26724,26915,27243,27694,28234,28828,29348,29902,30447,30948,31307,31310,31266,31211,31170,31273,31768,32245,32640,32907,33024,33015,32978,33035,33273,33748,34406,35155,35844,36373,36702,36881,36976,37102,37353,37748,38255,38823,39377,39874,40278,40609,40913,41258,41676,42204,42802,43393,43857,44120,44152,43997,43753,43549,43485,43600,43860,44212,44608,44980,
India,IND,Urban population,SP.URB.TOTL,80756165,82882675,85456483,88127852,90901311,93760317,96712771,99765995,102932969,106238157,109705504,113522496,118082741,122837876,127793753,132920311,138219074,143699555,149379784,155285822,161444126,167521705,173152674,178956141,184906540,190975976,197165615,203469686,209894840,216442440,223096279,229752406,236274336,242896347,249629427,256470882,263440889,270523260,277707329,284978105,292322757,300118526,308796506,317584393,326495070,335503761,344622641,353850624,363154576,372465918,381763164,391040056,400416922,409907903,419567353,429428650,439501314,449795398,460304169,471031529,481980332,
Not classified,INX,Urban population,SP.URB.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,Urban population,SP.URB.TOTL,1278075,1282080,1293324,1306885,1319272,1330262,1347250,1387226,1427337,1469698,1516360,1563915,1597717,1634072,1672099,1710683,1747737,1782727,1819520,1855360,1888405,1921042,1944867,1964356,1982219,1991056,1997341,2002008,1997871,1994394,2000470,2017094,2038731,2056779,2072766,2091287,2116049,2146414,2178016,2211944,2250951,2296510,2345367,2394915,2450379,2515791,2595694,2680715,2744952,2782090,2806411,2827835,2849043,2873286,2903635,2940510,2983355,3026107,3074684,3128618,3179292,
Iran Islamic Rep.,IRN,Urban population,SP.URB.TOTL,7390296,7730775,8086725,8458110,8845872,9250269,9673716,10147345,10660837,11195097,11751137,12330475,12936587,13573793,14250515,14972889,15742297,16521004,17336707,18227955,19206466,20274423,21426579,22654501,23944608,25281036,26666058,28011702,29328930,30587389,31751087,32799178,33888650,34949748,35978703,37010599,38054097,39051701,40038693,41030618,42026536,43031115,44050014,45078316,46107031,47130045,48145860,49125151,50093532,51080199,52095517,53140091,54203642,55292635,56418320,57580314,58781877,60016532,61266717,62509613,63728813,
Iraq,IRQ,Urban population,SP.URB.TOTL,3127231,3321447,3528451,3749757,3987431,4242424,4487185,4737199,5002623,5280603,5569341,5867784,6176316,6495300,6826943,7171878,7530612,7901444,8253726,8598796,8945810,9294817,9646516,9998788,10349521,10697262,11040740,11382714,11640584,11877595,12142167,12437108,12759908,13107822,13475507,13858717,14255733,14665744,15123548,15606187,16094909,16594706,17104296,17607003,18080764,18513374,18889524,19223310,19565438,19985684,20552598,21282804,22141873,23075657,24005087,24872486,25661856,26391349,27085314,27783373,28514939,
Iceland,ISL,Urban population,SP.URB.TOTL,140986,144661,148268,151829,155450,159059,162665,166198,169365,171812,173568,175738,179084,182557,185790,188920,191538,193688,195917,198545,201355,204294,207668,211056,213929,216226,218415,221413,225500,228892,231255,234420,237854,240747,243303,245081,246857,249329,252455,255931,259836,263687,266425,268644,271378,276072,283000,290623,296449,297832,297604,298556,300190,303150,306653,309974,314424,322016,330898,338406,344066,
Israel,ISR,Urban population,SP.URB.TOTL,1624582,1703972,1805829,1891353,1985742,2074492,2146053,2259135,2325145,2404654,2503959,2602174,2686849,2812295,2911784,2993516,3075582,3159569,3241222,3339820,3435249,3518466,3599159,3678408,3731413,3802419,3866349,3934022,4004463,4077721,4210729,4477014,4639645,4769938,4900510,5038520,5176476,5311285,5438029,5582264,5735757,5876682,6000381,6113918,6227239,6342289,6459778,6579915,6702316,6869011,7000447,7136149,7274496,7417238,7566988,7724692,7884198,8045513,8209306,8375041,8533651,
Italy,ITA,Urban population,SP.URB.TOTL,29799044,30249038,30708292,31188380,31702827,32227841,32737193,33233152,33703021,34152929,34592379,35012585,35369083,35720365,36065654,36393136,36687131,36955192,37198851,37418639,37607540,37764025,37819718,37822134,37819273,37818886,37809627,37802166,37809110,37826147,37846480,37861339,37907512,37964793,38006634,38041344,38086153,38140443,38185563,38226137,38277624,38333314,38447500,38686985,39006818,39267369,39454178,39722857,40056298,40308358,40502481,40641670,40894259,41548775,42109853,42247229,42351339,42462869,42559879,42249963,42306582,
Jamaica,JAM,Urban population,SP.URB.TOTL,549936,569618,590782,613062,635874,658673,681317,703946,726971,750887,775088,797094,820381,844483,868707,892592,915812,938452,961239,985154,1010889,1038836,1068172,1090796,1112130,1130947,1146728,1159955,1171674,1183466,1196496,1211273,1227964,1245671,1263930,1282435,1301192,1320251,1339265,1357777,1375505,1392265,1407037,1420748,1434040,1447021,1459784,1472255,1484711,1497367,1510428,1524025,1538501,1553709,1569365,1585235,1601281,1617507,1633950,1650593,1667459,
Jordan,JOR,Urban population,SP.URB.TOTL,474753,510484,537816,562546,594350,636820,691943,757854,829533,899823,963437,1018720,1067148,1110223,1150733,1191001,1231105,1270916,1312527,1358378,1427488,1515008,1611996,1717131,1828052,1942921,2059898,2179921,2307853,2450749,2613475,2799875,3006559,3221755,3428612,3588796,3702034,3793107,3868413,3937750,4009377,4084281,4163401,4255285,4370501,4582818,4851356,5152545,5487243,5854306,6251315,6679867,7134134,7592552,8026940,8363638,8647202,8880356,9066350,9213051,9327507,
Japan,JPN,Urban population,SP.URB.TOTL,58979628,60395537,61843154,63355376,64897877,66476104,67914591,69431886,71026895,72679753,74322974,76805782,78731730,80682335,82593959,84478613,85645846,86544997,87402828,88213150,88977732,89743575,90498578,91261504,91987180,92696479,93340695,93946744,94492929,95025267,95496650,96038630,96566243,97049554,97489878,97888236,98272808,98667335,99095072,99434460,99760751,101706485,104055019,106256267,108136910,109856670,111383848,112827761,114107975,115228215,116302928,116416235,116331281,116262976,116208079,116182717,116145370,116053379,115920900,115782416,115494817,
Kazakhstan,KAZ,Urban population,SP.URB.TOTL,4390879,4630952,4872459,5110959,5341501,5571271,5786746,5987993,6179223,6367036,6548835,6724880,6902850,7080570,7253997,7385361,7507992,7623814,7736597,7863362,8010945,8164865,8323778,8487372,8655227,8774299,8896595,9019032,9130621,9157731,9198366,9241749,9219538,9171866,9025483,8844601,8714928,8581746,8438008,8363622,8349417,8346075,8357267,8396312,8465822,8552467,8654579,8765446,8942684,9133481,9275230,9421048,9566957,9718100,9874723,10032906,10189588,10342139,10495801,10652767,10815873,
Kenya,KEN,Urban population,SP.URB.TOTL,597800,633772,672218,717674,767144,820071,876976,938166,1003926,1074702,1163479,1262432,1370320,1487524,1614921,1753191,1903418,2065840,2242033,2433015,2558293,2675785,2798792,2926779,3059404,3196035,3336730,3481221,3629438,3780849,3973392,4179236,4392049,4611735,4838155,5071324,5311635,5558971,5814749,6079808,6358390,6648222,6949822,7264511,7593875,7938446,8299731,8677870,9072572,9482264,9907053,10349400,10809164,11286225,11778223,12284624,12804902,13339741,13891412,14461521,15053275,
Kyrgyz Republic,KGZ,Urban population,SP.URB.TOTL,742514,778534,813050,849091,886206,922554,960953,999643,1039135,1077271,1108956,1136657,1165888,1195196,1226436,1257236,1287423,1317380,1346753,1373807,1397293,1421871,1448346,1476863,1504955,1531357,1558567,1586429,1612568,1639650,1658864,1673404,1679864,1667475,1654017,1657660,1669279,1680607,1693186,1708661,1729037,1745422,1761468,1779932,1801551,1821882,1841521,1859060,1876703,1899444,1923436,1949521,1986238,2031430,2079480,2131200,2185215,2239720,2298401,2362388,2429400,
Cambodia,KHM,Urban population,SP.URB.TOTL,588546,604505,622918,649091,675058,700397,724354,808868,901100,1003126,1117353,1336326,1593175,1881900,2188810,336870,356906,373187,388076,406156,662548,860066,901720,955403,1014843,1074762,1133799,1193559,1255516,1322038,1395346,1475791,1562344,1653844,1748472,1844685,1942110,2040526,2129274,2195430,2259173,2320184,2378419,2434573,2489817,2545033,2600254,2655689,2717205,2808855,2904519,3004694,3109364,3217889,3329690,3443896,3560344,3678963,3800502,3924621,4051341,
Kiribati,KIR,Urban population,SP.URB.TOTL,6711,7145,7603,8085,8588,9112,9652,10212,10790,11497,12319,13176,14067,14995,15735,16317,16923,17553,18203,18731,19143,19552,19960,20393,20884,21463,22159,22941,23769,24581,25328,25993,26583,27134,27695,28296,29499,31074,32736,34465,36259,37319,37972,38656,39396,40206,41538,43310,45139,46979,48779,50519,52203,53865,55539,57259,59021,60800,62621,64490,66405,
St. Kitts and Nevis,KNA,Urban population,SP.URB.TOTL,14153,14473,14729,14929,15077,15183,15241,15257,15255,15283,15322,15267,15287,15361,15446,15507,15540,15550,15543,15531,15501,15361,15224,15078,14925,14758,14566,14360,14165,14017,13934,13921,13950,14026,14110,14186,14239,14288,14330,14380,14450,14539,14659,14782,14902,15006,15093,15164,15226,15291,15351,15417,15494,15584,15682,15785,15897,16013,16138,16272,16406,
Korea Rep.,KOR,Urban population,SP.URB.TOTL,6930929,7351204,7811004,8289479,8779189,9286249,9815880,10537106,11362681,12225296,13123306,13896560,14639182,15391092,16159311,16946391,17823527,18743336,19679806,20636698,21623805,22617087,23619800,24621925,25577374,26473134,27480866,28537079,29585374,30626132,31656393,32459655,33169705,33872973,34575766,35280305,35810625,36259672,36633453,37006183,37428328,37867709,38258247,38626122,38947802,39195731,39490771,39740941,40093884,40351067,40602657,40909592,41089082,41240244,41463573,41645542,41774264,41861498,42038247,42106719,42156641,
Kuwait,KWT,Urban population,SP.URB.TOTL,201482,227801,258609,293578,332087,374194,422281,473742,527664,582746,637698,690375,742804,796075,851929,913259,985369,1060641,1138379,1217379,1297249,1377011,1453572,1530202,1611689,1698889,1794135,1898819,1993054,2050093,2052898,1990427,,,,1575331,1599608,1685065,1807408,1929432,2024672,2101338,2136991,2161626,2200498,2270196,2373661,2504026,2656010,2821041,2991884,3168054,3348852,3526382,3690939,3835588,3956862,4056102,4137314,4207077,4270563,
Latin America & Caribbean (excluding high income),LAC,Urban population,SP.URB.TOTL,94488632,98730942,103192021,107826213,112626476,117431274,122367511,127436940,132644103,137979183,143439732,149063842,154817876,160648947,166602619,172703283,178936251,185317346,191848399,198528499,205357410,212237903,219193351,226273437,233447142,240690794,247955287,255250324,262588523,269958289,277348478,284685791,291971122,299223095,306553104,313917743,321232930,328639757,336050319,343376650,350660346,357436971,364071325,370641760,377114140,383546993,389960828,396352021,402707001,409017964,415214876,421526832,427792511,434051153,440374037,446792582,453330361,459955109,466569441,473037212,479256573,
Lao PDR,LAO,Urban population,SP.URB.TOTL,168526,174061,179800,185733,191896,198303,204893,217033,229963,243806,258761,274983,292465,309357,324131,338146,351143,363256,375285,388312,403261,420404,439774,461157,484296,509076,535666,563919,593714,624883,657380,691131,726041,761829,798178,842221,902800,965619,1030927,1098950,1169990,1243826,1320796,1401187,1485874,1563650,1622169,1683372,1747053,1812306,1878750,1946163,2014817,2084844,2157060,2231863,2309515,2389618,2471807,2555553,2640299,
Lebanon,LBN,Urban population,SP.URB.TOTL,764264,821157,880861,942378,1004429,1065751,1125228,1182750,1240264,1300672,1366400,1437380,1513082,1590231,1662600,1725183,1775606,1814944,1846585,1875897,1907315,1943104,1982992,2025288,2066996,2106265,2140779,2172944,2212178,2256482,2329880,2438801,2578353,2731845,2875532,2992771,3074191,3126453,3167927,3218765,3304786,3436969,3606734,3790067,3952237,4070396,4129663,4142872,4147329,4196333,4325709,4550937,4852949,5191037,5506402,5755684,5926427,6030303,6076955,6084990,6069524,
Liberia,LBR,Urban population,SP.URB.TOTL,208428,220362,232969,246273,260364,275268,291062,307802,325584,344454,364540,385908,408647,432820,458638,486250,515327,545754,578142,613293,651641,693907,739548,785739,841161,909221,970346,1024266,1071214,1112489,1150515,1183282,1101267,1028062,973003,939724,928229,1007342,1098776,1187548,1262745,1319608,1361641,1395783,1433182,1481974,1544621,1618166,1698871,1781147,1860575,1936128,2009229,2081048,2153466,2228064,2305044,2383887,2464954,2548426,2634493,
Libya,LBY,Urban population,SP.URB.TOTL,395751,422412,451117,482118,515757,583535,661918,748523,843702,947351,1059744,1180737,1310189,1446979,1553518,1660749,1771546,1885648,2003893,2127326,2256650,2392022,2532823,2676853,2821274,2922768,3016123,3105302,3191252,3275662,3359574,3443493,3526867,3608481,3686789,3760788,3829909,3895521,3959578,4024684,4092734,4164194,4238424,4314780,4392200,4469572,4547787,4626695,4703521,4774511,4837403,4890307,4935069,4977655,5026583,5087798,5163864,5252536,5349664,5448598,5544510,
St. Lucia,LCA,Urban population,SP.URB.TOTL,19249,19682,20156,20669,21214,21785,22383,23007,23644,24269,24867,25429,25958,26481,27030,27628,28285,28994,29741,30510,31272,32023,32772,33540,34359,35252,36229,37282,38374,39461,40507,41401,41633,41826,42022,42247,42515,42810,43104,43352,43532,43458,41966,40479,39052,37723,36496,35346,34225,33089,32120,32387,32593,32769,32955,33166,33410,33679,33973,34281,34598,
Latin America & Caribbean,LCN,Urban population,SP.URB.TOTL,108738813,113561312,118601206,123830413,129231623,134641424,140185979,145865840,151690750,157649899,163742445,170002038,176390005,182862225,189470148,196237078,203154601,210229614,217469839,224866739,232448279,240150707,247909318,255752241,263693513,271711764,279759362,287843392,295974791,304139444,312318023,320398798,328430896,336461543,344570679,352708584,360796874,368962266,377107619,385157288,393146853,400611339,407855320,415000440,422041065,429032823,435986287,442898542,449769450,456604093,463337076,470192575,477015727,483791757,490491739,497108429,503629772,510053174,516359790,522741449,529082736,
Least developed countries: UN classification,LDC,Urban population,SP.URB.TOTL,23317291,24465609,25715474,27056023,28495602,30031079,31667506,33475633,35399180,37438232,39538584,41814048,44241630,46769557,49418805,50279281,53224591,56380084,59741648,63173103,67018347,70759819,74015047,77517860,81340582,85438616,89730619,94224942,98950357,103779083,108895349,114110901,119435237,124882826,130206656,135562780,141015014,146637316,152365040,158280893,164462263,171248537,178496139,186087159,193896894,201991147,210219127,218294695,227312850,236706117,246511203,256742554,267248811,278143155,289451476,301173968,313322016,325906292,338932815,352399560,366304348,
Low income,LIC,Urban population,SP.URB.TOTL,18378346,19268224,20191176,21162833,22201951,23324534,24536956,25841938,27328002,28984678,30694499,32127210,33618197,35151431,36701602,38309341,39901673,41567231,43275319,44980319,46751288,48643437,50590008,52651322,54893089,57321735,59845088,62470659,65248264,68138904,71261796,74503356,77909971,81440728,84764403,88087442,91408909,94826352,98277045,101862455,105639575,109614395,113772960,118088667,122600960,127384775,132400008,137237084,142886639,148646084,154461683,160012176,165498623,171129100,177041637,183627755,190583919,197912695,205654431,213843158,222498077,
Liechtenstein,LIE,Urban population,SP.URB.TOTL,3372,3432,3478,3525,3576,3630,3691,3752,3816,3874,3925,3990,4067,4138,4214,4294,4383,4476,4568,4656,4729,4770,4787,4796,4800,4808,4816,4827,4840,4855,4874,4906,4946,4993,5039,5090,5108,5091,5073,5050,5021,5019,5051,5075,5096,5117,5136,5152,5169,5187,5206,5231,5260,5295,5327,5359,5386,5412,5437,5464,5498,
Sri Lanka,LKA,Urban population,SP.URB.TOTL,1622475,1677723,1734301,1792676,1846015,1901062,1958271,2017240,2077382,2137616,2197240,2255984,2313878,2371584,2429808,2489268,2550066,2611907,2674344,2736532,2797719,2852352,2892526,2931702,2971046,3010891,3051556,3092780,3133604,3173474,3211331,3247618,3282022,3314121,3342592,3367278,3387296,3403632,3417928,3433299,3451324,3473139,3497774,3524535,3551533,3577319,3602000,3625538,3648476,3670930,3692904,3714770,3716533,3746058,3785336,3828283,3882481,3942265,4003749,4052088,4101702,
Lower middle income,LMC,Urban population,SP.URB.TOTL,194785768,201725410,209283582,217168196,225366580,233892813,242651521,251697749,261126277,270919781,281061082,291887483,303949618,316586796,329805297,341606147,355837458,370572025,386010887,401983866,418854060,436412859,453392616,471120307,489558200,508569207,528165756,548185832,568612257,589315026,611595946,631859854,652293307,672853666,693555249,714402491,735663384,757317604,779291156,801473043,824129430,847244045,871794447,896897230,922506764,948677101,975325738,1002518849,1030342859,1058814255,1088062460,1117815143,1148006345,1178911702,1210443126,1242703179,1275589263,1309111469,1343321806,1378166280,1413633256,
Low & middle income,LMY,Urban population,SP.URB.TOTL,531250454,549541013,570887145,594989758,619878023,640217781,661550637,683528658,706363712,730139453,754636358,780017172,806474950,834417403,863824943,891649734,921388638,951578032,985748088,1023839461,1063207990,1104242104,1145901456,1187331633,1230070730,1274125853,1319502748,1366140238,1413746214,1461409300,1510246990,1558370747,1606489661,1654937739,1703681455,1752719323,1802433024,1853024271,1904260778,1955817585,2008230688,2063532406,2121845119,2181456193,2242156657,2304061126,2366346429,2428852079,2493330398,2559057102,2626000626,2693184591,2761772355,2831565423,2902341452,2974192879,3047041792,3121057826,3194503779,3267394046,3339281474,
Lesotho,LSO,Urban population,SP.URB.TOTL,29405,33775,38798,44560,51162,58714,66538,71449,76747,82444,88570,95146,102045,109241,117077,125621,133829,138480,143361,148374,153460,158586,163757,168952,174159,179351,185919,197857,210414,223736,237964,253138,269232,286146,303749,321907,339875,355214,370301,384517,397373,408512,418084,426620,435071,444116,454103,463033,472857,483463,494863,507160,517933,529466,541555,554039,566839,579982,593557,607508,621853,
Late-demographic dividend,LTE,Urban population,SP.URB.TOTL,287715756,296734314,307974008,321546521,335441393,344224368,353566839,363161743,373090201,383408139,393899754,404446647,414841704,426093650,438204645,450060248,461375024,472544442,486912874,504566061,522422421,540763686,560028573,578094712,596504629,615422900,635006993,655333130,676078937,696488773,716317713,737490479,756534916,777614847,798945735,821837037,843479769,865585939,887943367,910291487,932642061,957460816,983627008,1010285933,1037493804,1065281786,1092976086,1120692877,1148982809,1177570014,1206150239,1234212958,1262946621,1291818382,1320690279,1349370077,1378184354,1407262739,1434746426,1460836157,1484983036,
Lithuania,LTU,Urban population,SP.URB.TOTL,1096416,1141928,1186429,1230140,1275080,1320810,1367610,1415159,1462669,1507983,1555873,1612378,1670055,1726365,1782668,1838525,1894509,1950350,2005471,2050971,2087446,2126573,2168688,2213306,2258826,2305300,2354675,2406331,2459117,2492104,2499110,2501142,2496245,2482228,2462904,2441841,2421184,2401277,2381814,2362861,2344199,2322637,2300933,2279211,2250685,2213967,2181225,2157761,2137953,2114156,2067653,2020994,1997745,1981238,1967853,1952971,1932212,1909625,1896056,1895962,1901682,
Luxembourg,LUX,Urban population,SP.URB.TOTL,218385,221560,225946,229959,234207,238541,241914,244349,246598,249419,252255,256528,261780,266787,272384,277458,280890,283399,285895,288518,291473,293802,294251,294534,295042,295818,297355,299492,301882,305040,309096,313973,319732,325361,332341,338722,343082,347217,352047,359223,367434,374603,380583,387241,394773,402818,411237,419557,429035,438935,448892,460842,473864,486709,500042,513663,526490,541038,553119,565584,578234,
Latvia,LVA,Urban population,SP.URB.TOTL,1121298,1155193,1188070,1221599,1255757,1287767,1315521,1343866,1375002,1404638,1432319,1459887,1488241,1517255,1547223,1575779,1601843,1627400,1652200,1671120,1685226,1699098,1714098,1731364,1749443,1768075,1788258,1810950,1833841,1845533,1844232,1834229,1800024,1763518,1736816,1708476,1686883,1668936,1649682,1630787,1611520,1588107,1567452,1551233,1536660,1522383,1507751,1494021,1476965,1452351,1423002,1397904,1381242,1367090,1354815,1344323,1332897,1322185,1313215,1305648,1299043,
Macao SAR China,MAC,Urban population,SP.URB.TOTL,159890,162502,168358,176457,185775,195455,205440,215695,225348,233316,238886,241800,242295,240952,238763,236535,234376,232336,231163,231697,234559,240100,248364,258531,269858,281724,294078,306874,319654,331825,343001,352933,361725,369703,377393,385170,393297,401353,409620,418388,427772,437928,448813,460157,471600,482863,493804,504504,515232,526401,538215,550833,564037,577368,590210,602093,612824,622578,631633,640446,649342,
St. Martin (French part),MAF,Urban population,SP.URB.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,Urban population,SP.URB.TOTL,3619287,3793983,3973644,4157555,4344791,4534015,4725537,4919280,5115536,5314873,5517951,5724771,5956616,6196968,6447915,6711648,6989263,7280268,7585408,7904752,8237881,8585094,8946328,9317476,9695024,10074877,10455592,10837087,11221063,11609352,12004578,12407154,12815595,13226425,13636505,13953870,14245430,14529519,14808021,15083409,15357105,15629767,15902628,16177169,16456148,16803552,17172382,17550444,17940028,18343899,18764985,19203941,19659923,20128276,20602947,21078593,21553482,22027645,22501247,22975024,23450016,
Monaco,MCO,Urban population,SP.URB.TOTL,22461,22813,23043,23165,23236,23289,23302,23292,23295,23348,23487,23721,24049,24445,24829,25203,25523,25811,26090,26391,26752,27162,27633,28091,28511,28836,29050,29156,29232,29309,29433,29629,29859,30145,30436,30731,31001,31268,31554,31836,32148,32474,32804,33144,33499,33842,34189,34524,34860,35223,35609,36025,36459,36899,37320,37723,38070,38392,38682,38967,39244,
Moldova,MDA,Urban population,SP.URB.TOTL,478708,506760,535594,564967,595057,625583,656545,687878,719537,752150,784168,815357,847653,880458,913552,945980,978270,1009652,1041326,1071865,1101797,1133136,1165711,1199138,1233146,1266914,1300492,1334157,1366829,1385554,1388409,1388647,1386598,1381933,1375039,1366741,1361237,1344382,1332014,1318146,1303686,1289104,1274481,1259288,1244624,1235389,1231068,1227328,1224104,1221672,1219566,1217974,1216928,1215716,1214089,1204392,1191230,1172513,1154485,1138637,1122856,
Madagascar,MDG,Urban population,SP.URB.TOTL,542675,573077,605314,639540,675807,714171,754443,794053,836042,880328,927259,981646,1039492,1100751,1165701,1234202,1302442,1374403,1450328,1530301,1614654,1703478,1797055,1895439,1998623,2106591,2219701,2338140,2462865,2594157,2733337,2880486,3036093,3200683,3336673,3476115,3622765,3776500,3937065,4103816,4276115,4454032,4637736,4827100,5022402,5283543,5555518,5838412,6132919,6438339,6755411,7084185,7425118,7778815,8146535,8528700,8926125,9338862,9767217,10210849,10670457,
Maldives,MDV,Urban population,SP.URB.TOTL,10042,10368,10713,11066,11424,11769,11977,12184,12655,13170,13759,15321,17093,19073,21249,23606,26139,28864,31210,33118,35215,37523,40040,42754,45628,48316,50184,52072,53972,55871,57664,59219,60752,62223,63602,65157,67407,69597,71822,74217,77409,82626,88379,94594,101130,107866,113947,117981,122302,127295,133250,140208,148036,156616,165768,175274,185228,195482,205291,213646,219833,
Middle East & North Africa,MEA,Urban population,SP.URB.TOTL,36736022,38554953,40472905,42474857,44600581,46854938,49145636,51486073,53901916,56425113,59064222,61765811,64571649,67535154,70573785,73721019,77009266,80373615,83885692,87614192,91593377,95812128,100255119,104893034,109660638,114531217,119494692,124347214,129069928,133705160,139666916,144406982,147229306,151964173,156596441,162593636,166923253,171273186,175668721,180164175,184767856,189474452,194266446,199218967,204420068,210036897,216006631,222207084,228610568,235187448,241803138,248191695,254607763,261044559,267471774,274105309,280634584,287077018,293504358,299961065,306485571,
Mexico,MEX,Urban population,SP.URB.TOTL,19170353,20102585,21073601,22084933,23139153,24237679,25382266,26571109,27805279,29082636,30392017,31728521,33104917,34514974,35952176,37409351,38883278,40371911,41879100,43407701,44952213,46412878,47890688,49383434,50884710,52390614,53899562,55410753,56925351,58445698,59951348,61411744,62876085,64340297,65800646,67251523,68621428,69944972,71260336,72568677,73899942,75268748,76634722,78013778,79428214,80890447,82408288,83973951,85573769,87182004,88781438,90370887,91948802,93515785,95072133,96615314,98145003,99655907,101149483,102626859,104088701,
Marshall Islands,MHL,Urban population,SP.URB.TOTL,5222,5565,5964,6408,6887,7373,7869,8383,9147,9977,10909,11953,13107,14348,14986,15509,15973,16406,16823,17288,17824,18755,19869,21067,22368,23744,25217,26764,28318,29656,30748,31652,32366,32918,33340,33666,33880,33998,34097,34311,34807,35526,36458,37495,38480,39309,39947,40424,40784,41118,41464,41849,42249,42669,43107,43549,44001,44488,44995,45514,46049,
Middle income,MIC,Urban population,SP.URB.TOTL,512872108,530272789,550695969,573826925,597676072,616893247,637013681,657686720,679035710,701154775,723941859,747889962,772856753,799265972,827123341,853340393,881486965,910010801,942472769,978859142,1016456702,1055598667,1095311448,1134680311,1175177641,1216804118,1259657660,1303669579,1348497950,1393270396,1438985194,1483867391,1528579690,1573497011,1618917052,1664631881,1711024115,1758197919,1805983733,1853955130,1902591113,1953918011,2008072159,2063367526,2119555697,2176676351,2233946421,2291614995,2350443759,2410411018,2471538943,2533172415,2596273732,2660436323,2725299815,2790565124,2856457873,2923145131,2988849348,3053550888,3116783397,
North Macedonia,MKD,Urban population,SP.URB.TOTL,506446,530903,556982,584162,612702,642628,674298,707591,741943,776360,810138,839253,856890,874011,891986,911763,933792,957559,982220,1006329,1028852,1048560,1064241,1078351,1091377,1103636,1115347,1126354,1136542,1145660,1153594,1160781,1168616,1176348,1184945,1181765,1181330,1181587,1183736,1185212,1186387,1187130,1174317,1173927,1173001,1171843,1170744,1170224,1170314,1171282,1173181,1175261,1177371,1180399,1184330,1188475,1192987,1197983,1203438,1208802,1212058,
Mali,MLI,Urban population,SP.URB.TOTL,582484,604663,627575,651362,676191,702076,729168,757440,787292,818899,852498,888364,926546,966832,1009064,1052982,1098420,1146657,1198173,1252641,1310539,1372427,1438279,1506920,1576522,1645715,1713683,1779250,1837122,1899911,1970689,2051024,2140542,2237625,2340164,2446165,2555310,2668344,2791965,2942346,3103975,3277219,3462530,3660353,3871521,4095828,4334933,4588527,4855494,5132662,5417616,5709215,6008129,6316415,6637534,6973939,7326849,7695987,8080574,8479685,8891939,
Malta,MLT,Urban population,SP.URB.TOTL,294316,292949,291536,290127,288759,286362,282936,279467,276131,272927,271474,271546,271346,271149,270993,273015,274435,275536,278444,281309,284300,286427,292666,296847,296939,302228,307591,310133,313103,316579,320102,329269,333102,336862,340447,343247,346401,350223,353666,356901,360316,364105,367875,371319,374812,378170,380114,381739,384526,387733,389936,391879,395713,401597,409992,420192,430220,442474,458518,477236,497676,
Myanmar,MMR,Urban population,SP.URB.TOTL,4179145,4345927,4519105,4699731,4888947,5087430,5295939,5514236,5742344,5979482,6225527,6480177,6744256,6988799,7154403,7322786,7494463,7667844,7843988,8022812,8204595,8388056,8573724,8773360,9016919,9259194,9501252,9742331,9979724,10210964,10434242,10647649,10851863,11052322,11256262,11468853,11692263,11924109,12161320,12396386,12625998,12849010,13066099,13277061,13481502,13679548,13869371,14052307,14233443,14419343,14616049,14825520,15046734,15274180,15501262,15729411,15957057,16186648,16423467,16674094,16943754,
Middle East & North Africa (excluding high income),MNA,Urban population,SP.URB.TOTL,33006071,34608456,36271513,38005693,39825771,41767246,43746854,45718568,47791792,49932245,52133832,54362775,56672290,59060120,61509246,64064859,66722753,69416599,72215496,75164329,78312179,81658849,85180597,88860071,92672014,96551870,100522607,104448370,108260315,112028977,117128569,120940540,124880735,128842074,132764039,136516140,140175876,143808356,147448168,151125238,154851692,158638112,162491080,166408580,170384432,174538546,178789255,183049327,187383639,191854612,196508493,201059836,205748130,210563828,215441856,220575123,225664160,230739572,235866859,241087171,246442894,
